kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 100 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,2.596471,0.005649,1048576,1,100,256,4096
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.028623,0.000421,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.115670,0.001098,1024,1024,0,(16,4096
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.019150,0.000012,1048576,1,0,256,4096
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,0.066583,0.000034,1048576,1,0,256,4096
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,32,32,1,10,50,10,0.309226,0.003761,512,512,0,(16,1024
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 2080 Ti,32,32,1,16,16,1,10,50,10,0.184089,0.004429,512,512,0,(32,256
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,128,128,1,20,100,10,0.084688,0.001092,2048,2048,0,(16,16384
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.018310,0.000067,1048576,1,0,256,4096
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.015491,0.000020,1048576,1,0,256,4096
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025769,0.000880,1048576,1,0,256,4096
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 2080 Ti,1024,1,1,1,1,1,20,100,10,0.001458,0.000056,1,1,0,1024,1
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 2080 Ti,32,32,1,64,64,1,20,100,10,0.072037,0.001138,2048,2048,0,(32,4096
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.021522,0.000083,1048576,1,0,256,4096
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025702,0.000867,1048576,1,0,256,4096
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.096771,0.002195,1048576,1,0,256,4096
